"STATION","NAME","DATE","TOBS"
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-03-01",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-06",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-07",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-08",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-09",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-10",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-11",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-12",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-13",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-15",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-17",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-18",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-19",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-21",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-22",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-23",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-24",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-25",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-26",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-27",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-28",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-04-30",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-01",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-02",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-03",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-04",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-06",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-07",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-09",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-11",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-12",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-13",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-14",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-15",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-16",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-17",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-21",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-22",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-23",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-24",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-25",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-26",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-27",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-28",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-29",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-30",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-05-31",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-01",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-02",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-03",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-04",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-05",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-06",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-07",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-08",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-09",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-10",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-12",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-13",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-14",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-15",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-16",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-17",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-18",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-20",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-21",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-22",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-24",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-26",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-27",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-28",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-29",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-06-30",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-01",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-02",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-03",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-04",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-05",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-06",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-07",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-08",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-11",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-12",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-13",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-14",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-15",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-16",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-17",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-18",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-20",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-21",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-22",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-25",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-26",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-27",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-28",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-29",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-30",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-31",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-01",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-02",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-03",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-04",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-05",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-06",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-07",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-08",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-09",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-10",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-11",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-12",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-13",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-14",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-15",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-16",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-17",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-20",
